1   2018-06-02   00:11:39.6829519   纬度=47.58234   经度=129.9394   强度=-22.56987   陡度=-6.878436   误差=0   定位方式:2   省:黑龙江省   市:鹤岗市   县:鹤岗市市辖区
2   2018-06-02   00:11:42.3990627   纬度=48.89349   经度=129.0128   强度=-38.10607   陡度=-9.755155   误差=170.8579   定位方式:6   省:黑龙江省   市:黑河市   县:逊克县
3   2018-06-02   00:11:56.4166961   纬度=27.47742   经度=101.9434   强度=-39.87302   陡度=-5.003673   误差=49.35659   定位方式:6   省:四川省   市:凉山彝族自治州   县:盐源县
4   2018-06-02   00:12:00.9846414   纬度=44.96354   经度=135.188   强度=99.33245   陡度=13.38374   误差=0   定位方式:2   省:   市:   县:
5   2018-06-02   00:12:06.7392867   纬度=48.35337   经度=129.1472   强度=58.00851   陡度=9.281363   误差=66.79621   定位方式:6   省:黑龙江省   市:伊春市   县:伊春市市辖区
6   2018-06-02   00:12:12.8463162   纬度=27.37806   经度=101.9889   强度=-34.30851   陡度=-8.782979   误差=174.0548   定位方式:6   省:四川省   市:凉山彝族自治州   县:德昌县
7   2018-06-02   00:12:12.9503603   纬度=21.79107   经度=113.6725   强度=-43.45292   陡度=-18.53991   误差=0   定位方式:5   省:   市:   县:
8   2018-06-02   00:12:15.7579449   纬度=27.78155   经度=103.8546   强度=-61.86955   陡度=-12.37391   误差=0   定位方式:5   省:云南省   市:昭通地区   县:大关县
9   2018-06-02   00:12:17.8555934   纬度=48.33049   经度=129.4237   强度=43.50366   陡度=9.943694   误差=0   定位方式:5   省:黑龙江省   市:伊春市   县:伊春市市辖区
10   2018-06-02   00:12:41.341381   纬度=22.58586   经度=113.0082   强度=-23.77141   陡度=-8.949237   误差=0   定位方式:5   省:广东省   市:江门市   县:新会市
11   2018-06-02   00:12:41.8108904   纬度=22.58546   经度=113.0085   强度=-38.18085   陡度=-9.050277   误差=75.71928   定位方式:6   省:广东省   市:江门市   县:新会市
12   2018-06-02   00:12:47.9430106   纬度=48.36722   经度=129.4128   强度=35.51776   陡度=5.348557   误差=92.51514   定位方式:6   省:黑龙江省   市:伊春市   县:伊春市市辖区
13   2018-06-02   00:12:52.2527829   纬度=48.3423   经度=129.2807   强度=46.22265   陡度=8.452143   误差=66.8006   定位方式:6   省:黑龙江省   市:伊春市   县:伊春市市辖区
14   2018-06-02   00:13:03.8464970   纬度=21.77806   经度=113.6383   强度=-50.71895   陡度=-8.115032   误差=75.9203   定位方式:6   省:   市:   县:
15   2018-06-02   00:13:19.991827   纬度=48.32129   经度=129.4539   强度=45.97132   陡度=12.25902   误差=66.80904   定位方式:6   省:黑龙江省   市:伊春市   县:伊春市市辖区
16   2018-06-02   00:13:34.4903159   纬度=21.38025   经度=121.4366   强度=-53.29811   陡度=-23.52468   误差=0   定位方式:5   省:   市:   县:
17   2018-06-02   00:13:35.9402597   纬度=44.66388   经度=136.4634   强度=68.17435   陡度=16.15985   误差=0   定位方式:2   省:   市:   县:
18   2018-06-02   00:13:40.2988348   纬度=22.58523   经度=113.0122   强度=-54.76973   陡度=-17.52631   误差=75.71934   定位方式:6   省:广东省   市:江门市   县:新会市
19   2018-06-02   00:13:40.4743899   纬度=22.58742   经度=113.0126   强度=-126.9206   陡度=-23.20834   误差=75.71886   定位方式:6   省:广东省   市:江门市   县:新会市
20   2018-06-02   00:13:40.5438338   纬度=47.00728   经度=135.052   强度=66.89615   陡度=8.313308   误差=67.33584   定位方式:6   省:   市:   县:
21   2018-06-02   00:14:04.8833002   纬度=27.36457   经度=101.9784   强度=-45.83143   陡度=-9.166286   误差=49.40722   定位方式:6   省:四川省   市:凉山彝族自治州   县:德昌县
22   2018-06-02   00:14:05.1336001   纬度=27.31177   经度=102.5693   强度=-23.06343   陡度=-5.904237   误差=0   定位方式:2   省:四川省   市:凉山彝族自治州   县:普格县
23   2018-06-02   00:14:13.3818549   纬度=45.42707   经度=134.5246   强度=-64.41918   陡度=-10.99421   误差=67.96605   定位方式:6   省:   市:   县:
24   2018-06-02   00:14:17.6013821   纬度=14.75607   经度=110.5865   强度=-100.1157   陡度=-18.30687   误差=0   定位方式:5   省:   市:   县:
25   2018-06-02   00:14:25.9685385   纬度=21.77983   经度=113.6402   强度=-46.63016   陡度=-14.92165   误差=0   定位方式:5   省:   市:   县:
26   2018-06-02   00:14:26.489773   纬度=21.7781   经度=113.6422   强度=-52.32259   陡度=-16.74323   误差=75.92019   定位方式:6   省:   市:   县:
