1   2018-06-18   00:12:56.3168811   纬度=29.28228   经度=91.23323   强度=-64.24715   陡度=-5.482423   误差=73.82082   定位方式:6   省:西藏自治区   市:山南地区   县:扎囊县
2   2018-06-18   00:13:28.3651712   纬度=23.03571   经度=102.3529   强度=-36.74401   陡度=-7.971581   误差=75.60448   定位方式:6   省:云南省   市:红河哈尼族彝族自治州   县:绿春县
3   2018-06-18   00:13:59.3031202   纬度=31.61713   经度=103.2563   强度=180.6927   陡度=15.73379   误差=73.07091   定位方式:6   省:四川省   市:阿坝藏族羌族自治州   县:理县
4   2018-06-18   00:17:27.241510   纬度=31.67241   经度=103.0693   强度=32.52701   陡度=4.382587   误差=73.05256   定位方式:6   省:四川省   市:阿坝藏族羌族自治州   县:理县
5   2018-06-18   00:17:49.9140395   纬度=31.44769   经度=102.3251   强度=-21.16928   陡度=-3.225795   误差=0   定位方式:2   省:四川省   市:阿坝藏族羌族自治州   县:小金县
6   2018-06-18   00:20:43.8594129   纬度=41.94239   经度=85.93427   强度=-46.56442   陡度=-6.930519   误差=0   定位方式:6   省:新疆维吾尔自治区   市:巴音郭楞蒙古自治州   县:库尔勒市
7   2018-06-18   00:26:36.3045453   纬度=23.00856   经度=118.8342   强度=-29.70403   陡度=-13.57899   误差=0   定位方式:2   省:   市:   县:
8   2018-06-18   00:26:36.3266273   纬度=19.538   经度=121.1791   强度=-53.1418   陡度=-30.91886   误差=0   定位方式:5   省:   市:   县:
9   2018-06-18   00:26:48.4108059   纬度=29.51671   经度=91.36757   强度=-7.865213   陡度=-2.516868   误差=0   定位方式:2   省:西藏自治区   市:拉萨市   县:达孜县
10   2018-06-18   00:29:52.3934141   纬度=31.54086   经度=102.2458   强度=-9.374474   陡度=-2.264024   误差=0   定位方式:2   省:四川省   市:阿坝藏族羌族自治州   县:金川县
11   2018-06-18   00:29:52.4380707   纬度=31.54395   经度=102.2557   强度=-25.70911   陡度=-5.223439   误差=0   定位方式:2   省:四川省   市:阿坝藏族羌族自治州   县:金川县
12   2018-06-18   00:29:52.4739573   纬度=31.54531   经度=102.2803   强度=-14.91108   陡度=-3.128883   误差=0   定位方式:2   省:四川省   市:阿坝藏族羌族自治州   县:金川县
13   2018-06-18   00:32:40.1288488   纬度=18.61446   经度=103.3624   强度=-108.7924   陡度=-20.18177   误差=76.64587   定位方式:6   省:   市:   县:
14   2018-06-18   00:35:36.376708   纬度=32.478   经度=103.5716   强度=45.76123   陡度=8.613878   误差=72.78401   定位方式:6   省:四川省   市:阿坝藏族羌族自治州   县:松潘县
15   2018-06-18   00:35:41.6219193   纬度=30.47386   经度=104.105   强度=-43.99795   陡度=-6.952763   误差=0   定位方式:2   省:四川省   市:成都市   县:双流县
16   2018-06-18   00:35:43.6918616   纬度=31.52766   经度=101.7483   强度=-65.13688   陡度=-5.63346   误差=47.42035   定位方式:6   省:四川省   市:阿坝藏族羌族自治州   县:金川县
17   2018-06-18   00:39:05.6213141   纬度=31.56313   经度=101.8298   强度=-45.88626   陡度=-4.256117   误差=73.08856   定位方式:6   省:四川省   市:阿坝藏族羌族自治州   县:金川县
18   2018-06-18   00:39:59.469838   纬度=31.96995   经度=106.3751   强度=75.68822   陡度=12.74749   误差=0   定位方式:2   省:四川省   市:广元市   县:苍溪县
19   2018-06-18   00:39:59.4508510   纬度=32.53344   经度=103.3496   强度=75.84071   陡度=12.60729   误差=72.76523   定位方式:6   省:四川省   市:阿坝藏族羌族自治州   县:松潘县
20   2018-06-18   00:41:10.6610702   纬度=31.50346   经度=101.7065   强度=-36.31669   陡度=-7.620552   误差=0   定位方式:5   省:四川省   市:阿坝藏族羌族自治州   县:金川县
21   2018-06-18   00:44:59.9874097   纬度=31.55129   经度=102.3103   强度=-9.856677   陡度=-2.034927   误差=0   定位方式:2   省:四川省   市:阿坝藏族羌族自治州   县:小金县
22   2018-06-18   00:46:21.2931472   纬度=31.60436   经度=102.3281   强度=-19.37206   陡度=-2.987498   误差=0   定位方式:2   省:四川省   市:阿坝藏族羌族自治州   县:小金县
23   2018-06-18   00:47:52.7417629   纬度=31.5413   经度=102.2767   强度=-13.01756   陡度=-2.346828   误差=0   定位方式:2   省:四川省   市:阿坝藏族羌族自治州   县:金川县
24   2018-06-18   00:50:21.3183572   纬度=31.59527   经度=102.3326   强度=-11.13   陡度=-2.374401   误差=0   定位方式:2   省:四川省   市:阿坝藏族羌族自治州   县:小金县
25   2018-06-18   00:50:42.5150740   纬度=19.48411   经度=101.3042   强度=-57.91505   陡度=-12.78125   误差=0   定位方式:2   省:   市:   县:
26   2018-06-18   00:52:14.1586607   纬度=31.56067   经度=102.2987   强度=-32.98846   陡度=-6.302273   误差=0   定位方式:2   省:四川省   市:阿坝藏族羌族自治州   县:小金县
27   2018-06-18   00:52:14.3747782   纬度=46.13805   经度=128.3917   强度=-18.37419   陡度=-4.703794   误差=0   定位方式:2   省:黑龙江省   市:松花江地区   县:通河县
28   2018-06-18   00:53:30.688188   纬度=31.54802   经度=102.628   强度=38.42274   陡度=3.415355   误差=0   定位方式:5   省:四川省   市:阿坝藏族羌族自治州   县:小金县
29   2018-06-18   00:54:48.7204704   纬度=31.55333   经度=103.9457   强度=-72.06409   陡度=-8.235896   误差=55.63231   定位方式:6   省:四川省   市:德阳市   县:绵竹市
30   2018-06-18   00:54:48.7236064   纬度=33.33414   经度=113.9755   强度=-58.44438   陡度=-6.620248   误差=55.63231   定位方式:6   省:河南省   市:驻马店地区   县:西平县
31   2018-06-18   00:55:22.3343114   纬度=31.57919   经度=102.3265   强度=-20.58971   陡度=-4.117941   误差=0   定位方式:2   省:四川省   市:阿坝藏族羌族自治州   县:小金县
32   2018-06-18   00:55:53.2744621   纬度=31.51596   经度=101.8577   强度=-50.27969   陡度=-3.900485   误差=73.104   定位方式:6   省:四川省   市:阿坝藏族羌族自治州   县:金川县
33   2018-06-18   00:55:53.3426414   纬度=31.53189   经度=102.251   强度=-17.09299   陡度=-3.366004   误差=0   定位方式:2   省:四川省   市:阿坝藏族羌族自治州   县:金川县
34   2018-06-18   00:57:55.6569691   纬度=31.55478   经度=102.2686   强度=-18.40811   陡度=-3.681621   误差=0   定位方式:2   省:四川省   市:阿坝藏族羌族自治州   县:金川县
35   2018-06-18   00:58:55.9147151   纬度=31.56492   经度=102.3489   强度=-11.04145   陡度=-2.174317   误差=0   定位方式:2   省:四川省   市:阿坝藏族羌族自治州   县:小金县
36   2018-06-18   00:58:55.9326086   纬度=31.5597   经度=102.3009   强度=-12.58246   陡度=-2.477776   误差=0   定位方式:2   省:四川省   市:阿坝藏族羌族自治州   县:小金县
37   2018-06-18   00:59:11.7711298   纬度=31.55041   经度=102.3084   强度=-16.68575   陡度=-3.140846   误差=0   定位方式:2   省:四川省   市:阿坝藏族羌族自治州   县:小金县
38   2018-06-18   00:59:11.7948067   纬度=31.55353   经度=102.3497   强度=-9.429803   陡度=-1.915896   误差=0   定位方式:2   省:四川省   市:阿坝藏族羌族自治州   县:小金县
